,name,id,nametype,recclass,mass,fall,year,reclat,reclong,coordinates,locations,locations2
305,Forksville,10123,Valid,L6,6067.0,Fell,1924-01-01T00:00:00.000,36.78333,-78.08333,"[-78.08333, 36.78333]",United States,United States
313,Futtehpur,10839,Valid,L6,4000.0,Fell,1822-01-01T00:00:00.000,25.95,80.81667,"[80.81667, 25.95]",India,India
314,Fuyang,10840,Valid,Stone-uncl,2500.0,Fell,1977-01-01T00:00:00.000,32.9,115.9,"[115.9, 32.9]",China,China
318,Galkiv,10850,Valid,H4,5000.0,Fell,1995-01-01T00:00:00.000,51.68333,30.78333,"[30.78333, 51.68333]",Ukraine,Ukraine
319,Gambat,10851,Valid,L6,6400.0,Fell,1897-01-01T00:00:00.000,27.35,68.53333,"[68.53333, 27.35]",Pakistan,Pakistan
323,Gashua,44882,Valid,L6,4162.0,Fell,1984-01-01T00:00:00.000,12.85,11.03333,"[11.03333, 12.85]",Nigeria,Nigeria
335,Gorlovka,10949,Valid,H3.7,3618.0,Fell,1974-01-01T00:00:00.000,48.28333,38.08333,"[38.08333, 48.28333]",Ukraine,Ukraine
336,Granes,10956,Valid,L6,9000.0,Fell,1964-01-01T00:00:00.000,42.9,2.25,"[2.25, 42.9]",France,France
339,Grosnaja,11206,Valid,CV3,3500.0,Fell,1861-01-01T00:00:00.000,43.66667,45.38333,"[45.38333, 43.66667]",Russia,Russia
341,Grossliebenthal,11208,Valid,L6,8000.0,Fell,1881-01-01T00:00:00.000,46.35,30.58333,"[30.58333, 46.35]",Ukraine,Ukraine
345,Guangmingshan,11435,Valid,H5,2910.0,Fell,1996-01-01T00:00:00.000,39.80417,122.76389,"[122.76389, 39.80417]",China,China
352,Gujargaon,11448,Valid,H5,2449.0,Fell,1982-01-01T00:00:00.000,22.98333,76.05,"[76.05, 22.98333]",India,India
354,Gumoschnik,11450,Valid,H5,5700.0,Fell,1904-01-01T00:00:00.000,42.9,24.7,"[24.7, 42.9]",Bulgaria,Bulgaria
360,Hainaut,11472,Valid,H3-6,9000.0,Fell,1934-01-01T00:00:00.000,50.31667,3.73333,"[3.73333, 50.31667]",France,France
362,Hamlet,11485,Valid,LL4,3710.0,Fell,1959-01-01T00:00:00.000,41.38333,-86.6,"[-86.6, 41.38333]",United States,United States
365,Harleton,11830,Valid,L6,8360.0,Fell,1961-01-01T00:00:00.000,32.675,-94.51167,"[-94.51167, 32.675]",United States,United States
371,Hedeskoga,11869,Valid,H5,3500.0,Fell,1922-01-01T00:00:00.000,55.46667,13.78333,"[13.78333, 55.46667]",Sweden,Sweden
372,Hedjaz,11870,Valid,L3.7-6,6100.0,Fell,1910-01-01T00:00:00.000,27.33333,35.66667,"[35.66667, 27.33333]",Saudi Arabia,Saudi Arabia
376,High Possil,11884,Valid,L6,4500.0,Fell,1804-01-01T00:00:00.000,55.9,-4.23333,"[-4.23333, 55.9]",United Kingdom,United Kingdom
383,Honolulu,11904,Valid,L5,2420.0,Fell,1825-01-01T00:00:00.000,21.3,-157.86667,"[-157.86667, 21.3]",United States,United States
391,Ibitira,11993,Valid,Eucrite-mmict,2500.0,Fell,1957-01-01T00:00:00.000,-20.0,-45.0,"[-45, -20]",Brazil,Brazil
393,Ichkala,11995,Valid,H6,3973.0,Fell,1936-01-01T00:00:00.000,58.2,82.93333,"[82.93333, 58.2]",Russia,Russia
394,Idutywa,12000,Valid,H5,3457.0,Fell,1956-01-01T00:00:00.000,-32.1,28.33333,"[28.33333, -32.1]",South Africa,South Africa
396,Ijopega,12004,Valid,H6,7330.0,Fell,1975-01-01T00:00:00.000,-6.03333,145.36667,"[145.36667, -6.03333]",Papua New Guinea,Papua New Guinea
399,Inner Mongolia,12037,Valid,L6,3000.0,Fell,1963-01-01T00:00:00.000,41.0,112.0,"[112, 41]",China,China
400,Innisfree,12039,Valid,L5,4576.0,Fell,1977-01-01T00:00:00.000,53.415,-111.3375,"[-111.3375, 53.415]",Canada,Canada
401,Ipiranga,12043,Valid,H6,7000.0,Fell,1972-01-01T00:00:00.000,-25.5,-54.5,"[-54.5, -25.5]",Brazil,Brazil
403,Isthilart,12053,Valid,H5,3050.0,Fell,1928-01-01T00:00:00.000,-31.18333,-57.95,"[-57.95, -31.18333]",Argentina,Argentina
404,Itapicuru-Mirim,12056,Valid,H5,2024.0,Fell,1879-01-01T00:00:00.000,-3.4,-44.33333,"[-44.33333, -3.4]",Brazil,Brazil
405,Itqiy,12058,Valid,EH7-an,4720.0,Fell,1990-01-01T00:00:00.000,26.59083,-12.95217,"[-12.95217, 26.59083]",Morocco,Morocco
415,Jesenice,51589,Valid,L6,3667.0,Fell,2009-01-01T00:00:00.000,46.42137,14.05217,"[14.05217, 46.42137]",Slovenia,Slovenia
416,Jhung,12085,Valid,L5,5900.0,Fell,1873-01-01T00:00:00.000,31.3,72.38333,"[72.38333, 31.3]",Pakistan,Pakistan
424,Jonzac,12202,Valid,Eucrite-mmict,5000.0,Fell,1819-01-01T00:00:00.000,45.43333,-0.45,"[-0.45, 45.43333]",France,France
431,Kaba,12218,Valid,CV3,3000.0,Fell,1857-01-01T00:00:00.000,47.35,21.3,"[21.3, 47.35]",Hungary,Hungary
441,Kalumbi,12236,Valid,L6,4500.0,Fell,1879-01-01T00:00:00.000,17.83333,73.98333,"[73.98333, 17.83333]",India,India
442,Kamalpur,12238,Valid,L6,2770.0,Fell,1942-01-01T00:00:00.000,26.03333,81.46667,"[81.46667, 26.03333]",India,India
450,Kaptal-Aryk,12253,Valid,L6,3500.0,Fell,1937-01-01T00:00:00.000,42.45,73.36667,"[73.36667, 42.45]",Kazakhstan,Kazakhstan
451,Karakol,12256,Valid,LL6,3000.0,Fell,1840-01-01T00:00:00.000,47.21667,81.01667,"[81.01667, 47.21667]",Kazakhstan,Kazakhstan
452,Karatu,12258,Valid,LL6,2220.0,Fell,1963-01-01T00:00:00.000,-3.5,35.58333,"[35.58333, -3.5]",Tanzania,Tanzania
455,Karloowala,12263,Valid,L6,2950.0,Fell,1955-01-01T00:00:00.000,31.58333,71.6,"[71.6, 31.58333]",Pakistan,Pakistan
460,Kavarpura,47351,Valid,"Iron, IIE-an",6800.0,Fell,2006-01-01T00:00:00.000,25.14333,75.81333,"[75.81333, 25.14333]",India,India
462,Kediri,12270,Valid,L4,3300.0,Fell,1940-01-01T00:00:00.000,-7.75,112.01667,"[112.01667, -7.75]",Indonesia,Indonesia
463,Kemer,53654,Valid,L4,5760.0,Fell,2008-01-01T00:00:00.000,36.54194,29.41822,"[29.41822, 36.54194]",Turkey,Turkey
464,Kendleton,12275,Valid,L4,6937.0,Fell,1939-01-01T00:00:00.000,29.45,-96.0,"[-96, 29.45]",United States,United States
466,Kerilis,12282,Valid,H5,5000.0,Fell,1874-01-01T00:00:00.000,48.4,-3.3,"[-3.3, 48.4]",France,France
470,Khanpur,12289,Valid,LL5,3698.0,Fell,1932-01-01T00:00:00.000,25.55,83.11667,"[83.11667, 25.55]",India,India
474,Khmelevka,12297,Valid,L5,6109.0,Fell,1929-01-01T00:00:00.000,56.75,75.33333,"[75.33333, 56.75]",Russia,Russia
475,Khohar,12298,Valid,L3.6,9700.0,Fell,1910-01-01T00:00:00.000,25.1,81.53333,"[81.53333, 25.1]",India,India
476,Khor Temiki,12299,Valid,Aubrite,3200.0,Fell,1932-01-01T00:00:00.000,16.0,36.0,"[36, 16]",Sudan,Sudan
489,Klein-Wenden,12332,Valid,H6,3250.0,Fell,1843-01-01T00:00:00.000,51.6,10.8,"[10.8, 51.6]",Germany,Germany
495,Košice,53810,Valid,H5,4300.0,Fell,2010-01-01T00:00:00.000,48.76367,21.17633,"[21.17633, 48.76367]",Slovakia,Slovakia
497,Krasnoi-Ugol,12355,Valid,L6,2440.0,Fell,1829-01-01T00:00:00.000,54.03333,40.9,"[40.9, 54.03333]",Russia,Russia
498,Krasnyi Klyuch,12357,Valid,H5,4000.0,Fell,1946-01-01T00:00:00.000,54.33333,56.08333,"[56.08333, 54.33333]",Russia,Russia
501,Kukschin,12368,Valid,L6,2250.0,Fell,1938-01-01T00:00:00.000,51.15,31.7,"[31.7, 51.15]",Ukraine,Ukraine
503,Kuleschovka,12370,Valid,L6,6000.0,Fell,1811-01-01T00:00:00.000,50.75,33.5,"[33.5, 50.75]",Ukraine,Ukraine
504,Kulp,12373,Valid,H6,3719.0,Fell,1906-01-01T00:00:00.000,41.11667,45.0,"[45, 41.11667]",Armenia,Armenia
507,Kushiike,12381,Valid,OC,4460.0,Fell,1920-01-01T00:00:00.000,37.05,138.38333,"[138.38333, 37.05]",Japan,Japan
511,Kuznetzovo,12385,Valid,L6,4047.0,Fell,1932-01-01T00:00:00.000,55.2,75.33333,"[75.33333, 55.2]",Russia,Russia
513,La Bécasse,12392,Valid,L6,2800.0,Fell,1879-01-01T00:00:00.000,47.08333,1.75,"[1.75, 47.08333]",France,France
517,Laborel,12408,Valid,H5,3833.0,Fell,1871-01-01T00:00:00.000,44.28333,5.58333,"[5.58333, 44.28333]",France,France
524,Lancon,12456,Valid,H6,7000.0,Fell,1897-01-01T00:00:00.000,43.75,5.11667,"[5.11667, 43.75]",France,France
525,Långhalsen,12461,Valid,L6,2300.0,Fell,1947-01-01T00:00:00.000,58.85,16.73333,"[16.73333, 58.85]",Sweden,Sweden
527,Lanzenkirchen,12465,Valid,L4,7000.0,Fell,1925-01-01T00:00:00.000,47.75,16.23333,"[16.23333, 47.75]",Austria,Austria
531,Le Pressoir,12748,Valid,H5,3000.0,Fell,1845-01-01T00:00:00.000,47.16667,0.43333,"[0.43333000000000005, 47.16667]",France,France
