,name,id,nametype,recclass,mass,fall,year,reclat,reclong,coordinates,locations,locations2
461,Kayakent,12268,Valid,"Iron, IIIAB",85000.0,Fell,1961-01-01T00:00:00.000,39.26333,31.78,"[31.78, 39.26333]",Türkiye,Türkiye
467,Kernouve,12284,Valid,H6,80000.0,Fell,1869-01-01T00:00:00.000,48.11667,-3.08333,"[-3.08333, 48.11667]",France,France
468,Kesen,12286,Valid,H4,135000.0,Fell,1850-01-01T00:00:00.000,38.98333,141.61667,"[141.61667, 38.98333]",日本,日本
469,Khairpur,12288,Valid,EL6,13600.0,Fell,1873-01-01T00:00:00.000,29.53333,72.3,"[72.3, 29.53333]",پاکستان,پاکستان
477,Kidairat,12300,Valid,H6,100000.0,Fell,1983-01-01T00:00:00.000,14.0,28.0,"[28, 14]",السودان,السودان
482,Kilabo,12307,Valid,LL6,19000.0,Fell,2002-01-01T00:00:00.000,12.76667,9.8,"[9.8, 12.76667]",Nigeria,Nigeria
490,Knyahinya,12335,Valid,L/LL5,500000.0,Fell,1866-01-01T00:00:00.000,48.9,22.4,"[22.4, 48.9]",Slovensko,Slovensko
492,Kokubunji,12342,Valid,L6,11510.0,Fell,1986-01-01T00:00:00.000,34.3,133.95,"[133.95, 34.3]",日本,日本
496,Krähenberg,12353,Valid,LL5,16500.0,Fell,1869-01-01T00:00:00.000,49.32694,7.46472,"[7.46472, 49.32694]",Deutschland,Deutschland
500,Krymka,12364,Valid,LL3.2,50000.0,Fell,1946-01-01T00:00:00.000,47.83333,30.76667,"[30.76667, 47.83333]",Україна,Україна
505,Kunashak,12377,Valid,L6,200000.0,Fell,1949-01-01T00:00:00.000,55.78333,61.36667,"[61.36667, 55.78333]",Россия,Россия
506,Kunya-Urgench,12379,Valid,H5,1100000.0,Fell,1998-01-01T00:00:00.000,42.25,59.2,"[59.2, 42.25]",Türkmenistan,Türkmenistan
510,Kuttippuram,12384,Valid,L6,45000.0,Fell,1914-01-01T00:00:00.000,10.83333,76.03333,"[76.03333, 10.83333]",India,India
512,Kyushu,12390,Valid,L6,45000.0,Fell,1886-01-01T00:00:00.000,32.03333,130.63333,"[130.63333, 32.03333]",日本,日本
516,La Criolla,12396,Valid,L6,45000.0,Fell,1985-01-01T00:00:00.000,-31.23333,-58.16667,"[-58.16667, -31.23333]",Argentina,Argentina
519,L'Aigle,12434,Valid,L6,37000.0,Fell,1803-01-01T00:00:00.000,48.76667,0.63333,"[0.6333300000000001, 48.76667]",France,France
523,Lancé,12455,Valid,CO3.5,51700.0,Fell,1872-01-01T00:00:00.000,47.7,1.06667,"[1.06667, 47.7]",France,France
528,Laochenzhen,12466,Valid,H5,14250.0,Fell,1987-01-01T00:00:00.000,33.13333,115.16667,"[115.16667, 33.13333]",中国,中国
533,Leedey,12755,Valid,L6,51500.0,Fell,1943-01-01T00:00:00.000,35.88333,-99.33333,"[-99.33333, 35.88333]",United States,United States
542,Limerick,14652,Valid,H5,50000.0,Fell,1813-01-01T00:00:00.000,52.56667,-8.78333,"[-8.78333, 52.56667]",Éire / Ireland,Éire / Ireland
