,name,id,nametype,recclass,mass,fall,year,reclat,reclong,coordinates,locations,locations2
845,Renca,22587,Valid,L5,300.0,Fell,1925-01-01T00:00:00.000,-32.75,-65.28333,"[-65.28333, -32.75]",Argentina,Argentina
846,Renqiu,22589,Valid,L6,355.0,Fell,1916-01-01T00:00:00.000,38.66667,116.13333,"[116.13333, 38.66667]",China,China
848,Revelstoke,22592,Valid,CI1,1.0,Fell,1965-01-01T00:00:00.000,51.33333,-118.95,"[-118.95, 51.33333]",Canada,Canada
850,Rich Mountain,22597,Valid,L6,668.0,Fell,1903-01-01T00:00:00.000,35.03333,-83.03333,"[-83.03333, 35.03333]",United States,United States
853,Richland Springs,22602,Valid,OC,1900.0,Fell,1980-01-01T00:00:00.000,31.25,-99.03333,"[-99.03333, 31.25]",United States,United States
854,Richmond,22603,Valid,LL5,1800.0,Fell,1828-01-01T00:00:00.000,37.46667,-77.5,"[-77.5, 37.46667]",United States,United States
855,Rio Negro,22611,Valid,L4,1310.0,Fell,1934-01-01T00:00:00.000,-26.1,-49.8,"[-49.8, -26.1]",Brazil,Brazil
857,Rochester,22637,Valid,H6,340.0,Fell,1876-01-01T00:00:00.000,41.08333,-86.28333,"[-86.28333, 41.08333]",United States,United States
858,Rockhampton,22640,Valid,Stone-uncl,1641.0,Fell,1895-01-01T00:00:00.000,-23.38333,150.51667,"[150.51667, -23.38333]",Australia,Australia
859,Roda,22641,Valid,Diogenite,400.0,Fell,1871-01-01T00:00:00.000,42.3,0.55,"[0.55, 42.3]",Spain,Spain
864,Rumuruti,22782,Valid,R3.8-6,67.0,Fell,1934-01-01T00:00:00.000,0.26667,36.53333,"[36.53333, 0.26667]",Kenya,Kenya
867,Sabetmahet,22792,Valid,H5,1250.0,Fell,1855-01-01T00:00:00.000,27.43333,82.08333,"[82.08333, 27.43333]",India,India
868,Sabrum,22793,Valid,LL6,478.0,Fell,1999-01-01T00:00:00.000,23.08333,91.66667,"[91.66667, 23.08333]",India,India
875,Salzwedel,23114,Valid,LL5,43.0,Fell,1985-01-01T00:00:00.000,52.75,11.05,"[11.05, 52.75]",Germany,Germany
877,San Juan Capistrano,23128,Valid,H6,56.0,Fell,1973-01-01T00:00:00.000,33.48472,-117.6625,"[-117.6625, 33.48472]",United States,United States
878,San Michele,31315,Valid,L6,237.0,Fell,2002-01-01T00:00:00.000,43.66667,13.0,"[13, 43.66667]",Italy,Italy
879,San Pedro de Quiles,23130,Valid,L6,282.0,Fell,1956-01-01T00:00:00.000,-31.01667,-71.4,"[-71.4, -31.01667]",Chile,Chile
880,San Pedro Jacuaro,34063,Valid,LL6,460.0,Fell,1968-01-01T00:00:00.000,19.76667,-100.65,"[-100.65, 19.76667]",Mexico,Mexico
881,Santa Barbara,23161,Valid,L4,400.0,Fell,1873-01-01T00:00:00.000,-29.2,-51.86667,"[-51.86667, -29.2]",Brazil,Brazil
882,Santa Cruz,23164,Valid,CM2,60.0,Fell,1939-01-01T00:00:00.000,24.16667,-99.33333,"[-99.33333, 24.16667]",Mexico,Mexico
885,São Jose do Rio Preto,23171,Valid,H4,927.0,Fell,1962-01-01T00:00:00.000,-20.81,-49.38056,"[-49.38056, -20.81]",Brazil,Brazil
887,Sasagase,23187,Valid,H,695.0,Fell,1688-01-01T00:00:00.000,34.71667,137.78333,"[137.78333, 34.71667]",Japan,Japan
890,Sayama,23192,Valid,CM2,430.0,Fell,1986-01-01T00:00:00.000,35.86667,139.4,"[139.4, 35.86667]",Japan,Japan
891,Sazovice,23455,Valid,L5,412.0,Fell,1934-01-01T00:00:00.000,49.23333,17.56667,"[17.56667, 49.23333]",Czechia,Czechia
896,Sediköy,23473,Valid,L6,240.0,Fell,1917-01-01T00:00:00.000,38.3,27.13333,"[27.13333, 38.3]",Turkey,Turkey
898,Selakopi,23481,Valid,H5,1590.0,Fell,1939-01-01T00:00:00.000,-7.23333,107.33333,"[107.33333, -7.23333]",Indonesia,Indonesia
899,Seldebourak,23483,Valid,H5,150.0,Fell,1947-01-01T00:00:00.000,22.83333,4.98333,"[4.9833300000000005, 22.83333]",Algeria,Algeria
